Model,Accuracy,Precision,Recall,F1-Score
SVM-RBF,0.95,0.9537,0.95,0.9492
SVM-Linear,0.925,0.9251,0.925,0.9244
QSVM-Angle(PCA),0.925,0.9251,0.925,0.9244
QSVM-Basic,0.9,0.9,0.9,0.9
SVM-Polynomial,0.9,0.9,0.9,0.9
QSVM-ZZ,0.775,0.7723,0.775,0.7689
