Model,Accuracy,Precision,Recall,F1-Score
SVM-Linear,0.9386,0.939,0.9386,0.9381
SVM-Polynomial,0.9386,0.939,0.9386,0.9381
SVM-RBF,0.9298,0.9297,0.9298,0.9294
QSVM-Basic,0.925,0.9251,0.925,0.9244
QSVM-ZZ,0.825,0.8259,0.825,0.8202
